LH1,MO17,PHG35,PHG47,PHJ40,LH123HT,LH82,PH207,PHG39,PHG84,PHZ51,bin,mean
0,20.825,31.6126,31.4019,31.9126,28.9109,42.1519,49.4729,0,44.2824,29.9714,1_8,28.2310545454545
0,41.8648,36.692,83.34742,27.1992,83.35642,61.856,61.1643,0,53.7469,35.2391,1_9,44.0423763636364
0,43.9409,50.0599,41.7569,47.6329,39.9759,46.0349,49.3039,0,24.271,41.3129,1_10,34.9353818181818
0,25.488,49.9206,34.566,27.074,37.89,24.613,25.53,0.421,51.6746,23.321,1_11,27.3180181818182
9.15,45.0148,39.2518,25.0236,24.303,23.4476,28.5622,25.6482,0,41.6068,47.4268,1_12,28.1304363636364
0.939,61.00532,64.3387,53.56442,58.88002,49.02942,41.3239,38.0111,0.939,58.38902,65.20032,1_13,44.6927472727273
0,70.7719,43.2189,12.394,55.0494,12.394,56.2062,49.0958,0,65.1743,70.2029,1_14,39.5006727272727
0,48.3975,22.3627,27.044,35.2671,35.2217,47.2669,42.1459,0,19.0602,48.5505,1_15,29.5742272727273
0,46.0435,43.3166,100.2032,23.542,97.0762,58.0367,51.3057,0,82.3107,24.4905,1_16,47.8477363636364
0,15.209,9.836,10.205,9.836,10.352,0,0,0,14.945,8.9,1_17,7.20754545454545
0,115.3937,124.914,62.528,82.8944,61.875,100.5729,110.6439,0,65.7793,132.9947,1_18,77.9632636363636
0,11.15,5.324,6.302,6.302,6.302,24.176,20.965,0,20.136,14.892,1_19,10.5044545454545
0,23.4927,8.2957,19.84,22.1877,16.565,24.698,16.689,0,19.1617,16.314,1_20,15.2039818181818
0,62.5454,54.6331,72.9852,24.2405,73.9654,56.6129,48.6809,0,65.6259,53.8939,1_21,46.6530181818182
0,50.76652,67.19776,78.03356,57.64322,77.57956,54.9752,54.8795,0,63.35556,66.78984,1_22,51.9291563636364
0,29.778,16.975,32.7018,16.6328,26.7288,30.88,30.865,0,36.5238,27.2528,1_23,22.5761818181818
0,69.6834,64.5614,48.8843,46.6695,40.3218,68.6978,64.9156,0,68.3268,32.8024,1_24,45.8966363636364
33.52119,24.9739,42.4042,50.0421,39.44919,38.9262,45.51719,43.68119,33.52119,50.4132,30.3252,1_25,39.3431590909091
7.968,12.5924,24.9984,10.4445,12.583,20.0715,15.5554,19.8354,7.126,9.526,13.049,1_26,13.9772363636364
55.6099,68.215,24.678,48.392,58.477,57.3667,44.6187,46.0157,55.6199,17.626,13.363,1_27,44.5438090909091
75.48802,53.01402,11.18,36.44762,73.84462,31.51502,67.80302,72.33402,67.23102,30.68202,73.65602,1_28,53.9268545454545
107.69429,69.7101,42.3648,89.52699,37.5768,52.5609,112.13959,99.16259,105.69429,83.7129,63.78679,1_29,78.5390945454545
16.744,17.3128,17.592,4.669,19.024,23.427,17.3058,18.3658,16.977,24.8028,12.8118,1_30,17.1847272727273
60.8022,50.4889,29.7039,48.769,56.1989,46.9542,44.53712,42.29042,56.1862,11.2442,23.49292,1_31,42.7879963636364
34.3187,0.842,28.8882,34.442,34.7347,32.019,18.3085,17.9227,33.8977,18.9802,26.375,1_32,25.5207909090909
172.65502,174.17242,168.97902,144.58802,178.87802,136.07342,145.03932,142.92632,170.57802,13.538,135.29812,1_33,143.884154545455
31.0278,11.664,27.1308,17.4578,21.3388,20.8978,20.9728,22.0278,29.4888,20.8978,17.7408,1_34,21.8768181818182
54.93,35.021,47.208,24.14,21.353,19.139,65.635,68.689,51.657,50.523,14.115,1_35,41.1281818181818
19.621,19.518,0,20.051,19.16,23.591,21.493,21.443,21.274,21.017,21.172,1_36,18.94
34.5732,19.764,13.229,26.0742,26.0882,26.4722,35.383,35.892,34.5732,38.3102,26.912,1_37,28.8428363636364
31.2105,21.638,15.5325,47.4188,40.6443,44.1733,29.599,29.739,33.3905,23.991,28.517,1_38,31.4412636363636
80.0438,0,51.1287,76.0278,82.8385,86.6415,77.9105,61.8178,75.8648,85.4987,37.3958,1_39,65.0152636363636
63.1349,22.649,18.9152,41.6342,61.6719,36.4689,41.342,43.532,60.6029,43.053,13.885,1_40,40.6262727272727
22.14699,15.824,6.917,38.75699,22.14699,34.396,15.824,14.734,21.02699,31.305,10.706,1_41,21.2530872727273
62.70964,70.13882,79.76912,100.68372,64.82094,87.62434,68.60424,62.43024,59.48914,58.91354,36.14142,1_42,68.3022872727273
122.209,90.7442,142.1123,161.0749,124.574,145.707,95.0606,95.0666,119.361,170.917123,126.039723,1_43,126.624222363636
32.7546,50.4556,38.426,58.4468,34.0906,47.6935,57.9338,53.9508,33.3516,52.9549,23.9663,1_44,44.0022272727273
58.4562,30.674,62.0532,9.163,58.6762,10.601,60.6722,56.6602,52.5402,46.5142,33.447,1_45,43.5870363636364
4.169,7.822,0.952,0,4.169,1.59,5.011,4.59,5.759,11.231,2.542,1_46,4.34863636363636
116.3399,60.801,104.9317,0,113.8059,0,87.59042,84.22442,108.7979,120.6186,81.88802,1_47,79.9088963636364
33.6733,31.8093,17.018,24.5993,32.5133,29.2813,42.0343,38.3223,36.3933,54.6543,47.8853,1_48,35.2894545454545
45.0001,37.7236,0,14.6168,47.3071,13.6078,48.8531,46.8391,47.7631,20.5406,40.7126,1_49,32.9967181818182
72.8466,80.7444,21.27862,58.064,71.0926,87.45632,87.8202,89.7552,72.5836,88.4727,88.7124,1_50,74.4387854545455
72.3002,64.769,65.9664,58.3846,72.7162,31.3486,21.6156,23.3186,67.3122,67.845,68.795,1_51,55.8519454545455
73.756,70.5903,69.846,72.879,74.851,55.168,110.8723,105.6543,72.533,90.5067,91.9817,1_52,80.7853
72.7955,76.629,87.193,47.1362,78.6205,81.415,0,0,72.9625,106.3125,105.5975,1_53,66.2419727272727
118.0678,121.4847,84.7609,104.5207,145.5336,87.0169,55.1448,50.6328,139.0118,112.4223,112.4943,1_54,102.826418181818
6.114,18.533,53.2125,7.084,14.663,55.3645,44.6495,59.3415,11.967,60.1695,56.1805,1_55,35.2071818181818
121.35704,135.753,105.15444,100.72442,127.895,96.19279,110.29122,115.95534,115.843,154.05479,98.26162,1_56,116.498423636364
20.334,45.056,7.45,18.8508,25.939,20.915,19.244,19.035,26.35,38.665,22.0178,1_57,23.9869636363636
51.8454,19.795,50.88552,54.82562,51.13982,28.965,47.9024,40.8347,48.80982,34.491,30.64662,1_58,41.8309909090909
50.548,36.75862,49.6612,50.1672,43.3842,31.88,50.718,50.611,37.3972,44.54662,43.802,1_59,44.49764
74.2261,94.5739,114.8317,154.8602,111.5917,112.0292,67.7931,70.0901,109.0227,100.7069,107.762,1_60,101.589781818182
47.915,50.552,50.7,2.069,45.741,48.901,49.657,48.853,46.668,52.988,46.938,1_61,44.6347272727273
17.721,17.652,21.6175,15.727,22.0385,16.805,16.21,18.39,21.588,17.196,21.6175,1_62,18.7784090909091
120.77059,104.41759,103.53189,92.46409,103.08189,97.37739,107.2789,102.3856,94.29589,116.08939,110.59069,1_63,104.753082727273
50.2696,66.4765,39.6296,49.27272,28.3385,51.41972,48.8306,49.5176,31.5605,66.6525,58.0631,1_64,49.0937218181818
97.6009,129.1961,92.3355,76.8485,107.6924,72.5595,92.8705,88.5955,99.6614,130.8557,87.5526,1_65,97.7971454545455
41.09702,89.24629,41.2682,58.39582,69.69251,61.04811,39.13502,36.57202,64.65169,92.26829,36.94702,1_66,57.3019990909091
49.976,49.289,51.151,9.051,5.28,5.257,55.215,48.9509,4.471,60.6909,8.379,1_67,31.6100727272727
41.204,44.3223,29.8813,72.6513,51.883,69.2033,38.6503,40.0263,55.215,43.2323,46.079,1_68,48.3952818181818
57.3098,72.9481,74.0109,75.3656,64.1848,72.3104,53.9041,54.0801,65.3358,69.6911,55.0039,1_69,64.9222363636364
44.08842,24.701,19.668,25.948,45.86942,25.238,24.208,25.892,40.35342,26.734,14.763,1_70,28.8602963636364
128.7916,165.5568,85.0061,175.9729,128.3496,164.1589,138.8298,143.3155,124.9076,169.7948,111.5567,1_71,139.658209090909
56.0487,54.694,64.58642,60.59742,55.7767,64.28242,51.98592,53.79392,53.3147,51.333,63.09142,1_72,57.2276927272727
35.1532,56.08422,32.8112,43.1872,35.1532,39.186,33.617,35.809,34.2012,57.49502,41.0911,1_73,40.3443945454545
116.664,120.191,73.487,65.881,118.288,64.483,49.832,49.219,103.035,57.073,98.199,1_74,83.3047272727273
95.70439,90.9416,35.79639,124.27869,90.05139,110.49939,76.9459,71.9594,90.59539,88.68939,86.1424,1_75,87.4185754545454
58.7812,41.0979,26.9309,32.0669,59.4452,34.2469,54.2481,54.9741,69.1622,61.5131,75.5922,1_76,51.6417
112.6286,30.2428,132.0974,0,111.9609,0.71,149.3775,147.6355,103.8177,158.0975,108.6478,1_77,95.9287
53.858,33.402,31.276,31.463,51.594,30.373,49.221,47.643,46.773,52.767,48.388,1_78,43.3416363636364
74.9249,40.5454,65.2431,28.1047,79.805,26.5957,70.592,76.1023,61.7461,87.1468,61.8691,1_79,61.1522818181818
54.057,37.0976,94.1169,1.684,50.781,1.684,33.63,36.3,49.523,92.1219,52.529,1_80,45.7749454545455
41.8697,28.9922,87.9747,27.4502,43.6497,23.1962,89.1774,90.6564,88.1437,78.8215,87.6927,1_81,62.5113090909091
130.1895,44.40642,122.7075,122.5519,130.7955,119.9024,60.354,56.999,103.751,86.07112,103.9605,1_82,98.3353490909091
19.535,47.57652,19.535,60.3069,17.606,47.9419,49.00932,33.29182,17.3698,0,26.3448,1_83,30.7742781818182
86.7957,83.2509,67.5444,107.9058,70.3124,105.9602,139.1704,98.6115,49.1077,83.1804,50.0677,1_84,85.6279181818182
81.2115,74.505,101.5735,95.4325,98.6715,101.3045,94.04072,92.39772,91.31772,72.709,95.2205,1_85,90.7621963636364
49.4249,24.4872,30.3142,50.0569,35.0412,45.1719,68.0273,66.6083,47.2282,44.2738,25.5289,1_86,44.1966181818182
96.5566,92.206,103.777,116.6663,104.951,101.2573,71.2333,66.7993,80.1855,88.583,106.815,1_87,93.5482090909091
86.0035,56.2815,51.6045,85.3084,51.5035,84.8064,74.1514,74.4724,49.6065,26.297,51.117,1_88,62.8320090909091
34.128,97.364,115.6086,50.6886,115.6316,49.3226,54.728,53.535,107.0636,61.981,59.5826,1_89,72.6939636363636
17.875,21.57,36.9456,17.627,42.4992,16.267,23.689,19.129,37.7792,0.0272,41.8392,1_90,25.0224909090909
68.399,85.1405,85.1458,77.571,83.4258,77.033,58.1843,56.4753,79.0238,14.607,53.4225,1_91,67.1298181818182
69.8929,49.0492,38.8556,59.0094,38.9836,58.9924,48.4077,45.7087,47.5657,55.2235,0,1_92,46.5171545454545
31.051,1.684,50.261,40.308,47.803,38.708,3.275,2.854,2.433,21.919,19.249,1_93,23.595
81.40032,66.3239,83.00942,102.83582,85.88142,102.11382,58.5422,61.8684,72.2389,136.16672,132.88392,1_94,89.3877127272727
81.6495,66.3509,74.8565,62.9861,79.0875,63.4426,93.6332,81.1153,77.1068,38.1569,96.3589,1_95,74.0676545454545
68.0321,68.8249,105.203223,78.78252,106.088223,68.8719,72.2582,47.6047,54.2544,54.5407,93.643423,1_96,74.3731171818182
22.004,23.902,98.6052,20.656,107.2512,22.798,10.407,38.112,31.051,50.033,43.636,1_97,42.5868545454545
50.847,49.129,91.2602,52.0914,98.8582,88.8362,53.53,58.204,61.461,105.4784,101.7189,1_98,73.7649363636364
39.42802,25.85002,55.52202,53.39852,55.77202,41.10302,48.073,45.4415,51.14002,53.83952,51.78052,1_99,47.3952890909091
149.6954,38.8367,122.0805,108.7403,130.9685,119.6355,134.6903,139.1152,112.2445,131.5381,128.9243,1_100,119.679027272727
48.8026,49.0292,53.7121,46.4861,58.9071,52.2107,53.6116,49.3276,42.7846,6.734,6.764,1_101,42.5790545454545
80.1852,15.933,19.38,70.6412,18.42,17.595,36.566,73.8212,76.391,4.483,4.062,1_102,37.9525090909091
94.866,73.3617,80.4562,21.693,87.0212,33.38,37.006,83.5122,50.2668,77.2599,81.0719,1_103,65.4449909090909
149.25672,162.82729,93.46201,116.0506,98.08101,107.43351,117.40602,140.99272,88.47522,176.39171,178.61771,1_104,129.908592727273
89.0865,132.58002,14.6365,71.7805,16.2545,110.58152,35.5243,82.5065,28.7463,124.58502,131.43902,1_105,76.1564254545455
72.374,66.387,2.956,56.522,2.956,63.184,84.833,64.111,82.744,69.104,71.933,1_106,57.9185454545455
154.4278,134.9788,117.5494,72.8785,123.5456,70.6451,109.9257,128.0106,87.7666,151.0848,152.5398,1_107,118.486609090909
172.36028,66.8769,137.6404,146.30189,123.4697,68.1989,127.45589,152.91378,134.9237,176.8614,173.2024,1_108,134.564112727273
1.22,107.534,123.83699,32.12999,49.59769,95.083,65.4817,95.71,47.33,83.0873,84.4293,1_109,71.4036336363636
0,0,30.09,31.9069,0,0,16.647,0,36.3538,0,0,1_110,10.4543363636364
50.0362,71.5495,9.503,60.6257,71.2182,67.2065,60.6762,46.9152,40.8252,66.5502,30.449,1_111,52.3231727272727
19.3702,48.5285,0,19.3422,25.008,46.1065,19.3702,19.3702,33.6332,23.918,24.288,1_112,25.3577272727273
1.7183,57.4376,0,0.3203,89.4868,50.5026,1.7183,1.7183,0.279,87.5206,87.2676,1_113,34.3608545454545
12.343,42.409,0,0,31.291,41.167,11.387,10.261,9.392,28.715,29.931,1_114,19.7178181818182
15.42432,39.90882,0,4.642,95.8467,38.09882,12.2073,14.54782,36.12782,89.6977,85.0887,1_115,39.2354545454545
7.157,75.0114,0,55.7627,76.8677,45.4117,17.202,5.894,36.94,76.0257,42.021,1_116,39.8448363636364
65.851,39.5636,0,6.3106,50.1166,54.411,16.5616,58.4,29.1266,78.6706,75.352,1_117,43.1239636363636
61.966,9.6752,0,10.635,30.7125,47.9855,0,54.3365,15.1295,62.4095,22.8165,1_118,28.6969272727273
69.9583,32.876,91.0557,105.2739,108.7594,32.9143,84.0469,70.2443,100.5744,76.6123,61.7248,1_119,75.8218454545455
58.3111,58.8532,58.0604,0.842,4.578,58.604,59.2117,57.0631,58.551,61.4661,68.2097,1_120,49.4318454545455
78.0131,30.533,34.574,16.529,15.098,22.29,17.371,75.9591,34.0701,79.7361,75.3062,1_121,43.5890545454545
61.6147,47.8133,61.116,30.8757,51.0487,57.2707,46.5267,57.4377,28.8997,62.8307,71.0207,1_122,52.4049636363636
43.803,51.0788,42.987,13.549,25.69,53.3368,43.8128,39.658,40.268,41.938,44.0028,1_123,40.0112909090909
14.812,91.93149,12.111,87.53819,100.96719,78.47219,100.57219,12.532,73.5942,14.519,105.91519,1_124,62.9967854545455
58.51302,74.6669,59.60802,87.51242,73.779943,80.106243,111.57812,59.09002,45.5278,59.49802,108.84112,1_125,74.4292387272727
59.7744,49.053,55.695,25.3848,43.1065,59.1934,58.8441,55.7643,31.5456,62.2227,64.1603,1_126,51.3403727272727
53.9365,36.792,57.3273,37.1393,28.36,56.8503,37.5523,51.0275,46.9285,53.2265,51.4455,1_127,46.4168818181818
64.0092,42.262,56.917,78.301,65.5112,65.759,73.825,55.6282,99.801,65.1042,62.393,1_128,66.3191636363636
21.1237,50.47502,52.01902,53.82202,20.92,54.83972,30.148,17.1927,46.81802,15.7717,46.26272,1_129,37.2175109090909
20.619,34.363,21.2,29.001,35.684,25.203,20.482,15.64,23.649,20.619,45.201,1_130,26.5146363636364
289.77581,226.1973,273.34442,259.76272,304.01939,97.9719,335.81868,276.59381,280.09242,340.45458,276.14241,1_131,269.106676363636
283.86019,286.08094,253.2352,142.74228,294.26094,99.6601,315.98649,249.71099,257.7702,318.16539,286.83494,1_132,253.482514545455
70.123,124.23912,60.5842,65.4053,119.25772,42.2863,60.4615,64.536,55.3272,61.3545,114.70672,1_133,76.2074145454546
197.8908,130.5596,4.802,105.2349,135.3886,57.0376,180.8501,186.7068,2.914,134.5589,140.6836,1_134,116.056990909091
108.1183,161.0169,4.936,75.4523,169.2062,64.731,43.7033,105.5453,4.515,82.856,171.6929,1_135,90.1612
45.89,51.2384,71.32732,34.1797,49.4574,13.7184,71.81132,45.796,69.52432,50.0777,50.7104,1_136,50.3391781818182
42.5174,35.1417,67.3043,62.8826,40.0367,14.449,59.5452,46.0239,56.5152,71.0174,36.2947,1_137,48.3389181818182
49.4499,60.6624,37.3051,70.3921,62.9474,22.6964,34.4027,49.1469,5.912,70.6387,66.5874,1_138,48.1946363636364
50.0052,52.2772,46.9102,16.085,41.4222,4.91,41.1742,41.8032,0,39.747,51.1372,1_139,35.0428545454545
8.668,56.1594,52.5404,63.1484,52.8674,26.9794,58.0117,63.4384,33.3777,34.5684,57.9317,1_140,46.1537181818182
54.3646,100.45249,30.275,67.703,0,42.01,1.2546,52.139,56.8246,108.05909,102.88709,1_141,55.9972245454545
50.141,54.812,54.194,57.843,0,50.198,30.581,24.566,52.627,30.972,57.192,1_142,42.1023636363636
105.7395,72.1867,156.146,53.5368,123.889,22.058,20.766,61.8917,143.4124,67.3197,72.1867,1_143,81.7393181818182
37.808,36.545,54.794,26.267,50.211,29.777,14.987,30.738,52.739,38.229,36.71,1_144,37.1640909090909
161.37411,148.17171,212.01631,141.0796,175.56811,125.5944,119.27431,70.5981,205.43831,174.61811,149.21781,1_145,152.995534545455
158.3352,167.6467,161.51882,142.87299,186.6545,135.11199,144.79829,162.67582,160.35462,151.3728,174.55091,1_146,158.717512727273
171.8748,206.7155,193.35122,161.1998,212.6215,132.961,162.0286,152.3248,183.58292,150.7486,110.0977,1_147,167.04604
129.9844,155.4378,149.0503,106.3486,144.50619,123.80029,128.6509,115.2183,149.9063,114.159,132.78529,1_148,131.804306363636
68.45242,86.246,96.43752,77.03702,76.14202,85.705,75.31842,55.45842,88.56552,52.567,91.155,1_149,77.5531218181818
53.6727,34.922,39.9667,27.7707,21.9537,28.3,50.2417,48.3837,39.4257,41.4737,34.043,1_150,38.1957818181818
103.5825,84.56549,89.668,52.3068,80.7885,77.4005,98.6525,83.7799,92.31032,38.8798,86.72549,1_151,80.7872545454545
102.3435,94.1648,109.0192,64.5015,76.7235,97.3596,39.072,101.6255,93.369,69.0012,92.6698,1_152,85.4408727272727
111.065,121.4773,131.9212,101.431,129.5158,99.1263,79.5525,100.294,132.4512,116.572,118.4263,1_153,112.893872727273
95.5703,112.3099,82.7836,128.8295,124.8605,102.9019,88.7518,58.51831,85.4436,71.8909,105.9722,1_154,96.1665918181818
63.657,35.342,62.0923,85.7008,83.9473,32.017,29.6042,69.2228,62.7063,31.7455,38.803,1_155,54.0762
134.18779,6.494,58.68461,63.05979,61.86141,9.894,21.96562,5.081,69.21961,132.68779,9.894,1_156,52.0936018181818
85.4786,0,92.8149,114.7349,83.63592,0,58.6677,1.684,88.8559,118.21832,0,1_157,58.5536581818182
401.85152,702.16976,383.3521,370.3636,459.85052,569.65974,476.20174,532.98362,384.4893,551.662,704.34366,1_158,503.357050909091
448.94881,527.89365,235.0151,451.44431,326.39923,472.03913,154.5625,310.52045,234.2341,342.64871,540.74965,1_159,367.677785454545
172.46263,168.64493,87.12601,115.08572,180.08802,159.70511,86.81101,127.41302,88.49221,60.6512,165.51761,1_160,128.363406363636
37.928,48.9203,27.79202,41.0433,20.872,41.6413,25.48002,23.78,27.88902,26.486,52.7373,1_161,34.0517509090909
42.1152,51.6129,70.694,55.755,53.0998,45.5742,70.9842,43.83842,74.4818,58.9147,60.0516,1_162,57.0110745454545
80.4017,65.7788,88.5815,4.922,56.489,48.2398,55.4628,53.4198,81.0585,63.103,67.8998,1_163,60.4869727272727
48.057,101.7821,85.8414,72.3421,15.5131,89.1585,7.01,22.1291,83.6064,46.2661,108.9971,1_164,61.8820818181818
88.2728,147.8251,87.2228,17.982,17.982,142.4551,0,156.7031,88.2578,0,152.9793,1_165,81.7890909090909
39.1491,82.6328,78.0821,59.4845,58.4035,68.0509,37.5363,60.6659,73.4441,65.752,78.2909,1_166,63.7720090909091
37.19,130.43014,8.522,12.253,62.286,52.4233,81.6811,54.3709,6.213,150.55344,130.75064,1_167,66.0612290909091
52.3982,58.5155,2.353,0.842,0,0.421,80.3243,94.40782,1.263,59.17652,51.1379,1_168,36.4399309090909
179.6205,170.54763,0,148.3591,184.82746,157.35409,131.58336,201.05286,0,197.56774,171.85789,1_169,140.251875454545
120.5345,102.5061,0,81.4647,115.8267,80.1511,88.49269,104.6532,0,105.9861,111.7901,1_170,82.8550172727273
59.7969,43.9319,0,71.4009,61.9629,47.4119,73.2274,66.5199,0,63.7729,36.0099,1_171,47.6395090909091
38.9289,96.7907,0,87.2286,11.879,52.0602,82.3765,70.6626,0,38.2972,71.0138,1_172,49.9306818181818
0.279,24.165,0,25.137,27.416,22.708,19.37,19.155,0,18.929,23.397,1_173,16.4141818181818
32.30942,32.43812,36.3676,37.9584,39.0181,34.9736,44.7811,39.1356,45.2556,39.9586,46.9366,1_174,39.0120672727273
32.1252,9.771,17.3112,32.6092,33.7062,0,23.333,0,14.6362,33.3502,18.3912,1_175,19.5666727272727
71.85449,96.0407,90.98199,68.78619,81.13,57.322,66.48649,38.731,97.68399,82.86019,92.57849,1_176,76.7686845454545
75.8002,71.657,80.31862,42.4403,90.702,37.9403,73.1928,90.4208,81.06182,86.5968,89.5442,1_177,74.5158945454545
9.097,37.3982,27.573,34.1012,48.8812,5.923,53.2182,7.867,25.97,48.0362,43.1712,1_178,31.0214727272727
42.9867,38.99,44.565,39.411,46.0737,48.781,42.1877,57.498,45.26,47.3327,44.1097,1_179,45.1995909090909
61.2462,63.8247,112.833,114.997,98.7344,82.8007,86.325,32.825,103.2575,89.442,125.4856,1_180,88.3428272727273
51.0346,76.92682,84.5368,78.3822,20.2683,65.52442,109.1732,45.0249,82.4238,110.0522,89.4232,1_181,73.8882218181818
36.07382,52.26552,45.92822,28.4066,25.9168,32.58832,27.772,39.06022,43.62142,31.9263,30.6443,1_182,35.8366836363636
66.8006,70.3279,50.09,80.4117,3.548,62.2755,3.548,69.2875,52.037,3.548,98.2212,1_183,50.9177636363636
26.443,28.966,9.175,20.631,17.25,9.332,19.136,22.682,9.078,20.273,23.487,1_184,18.7684545454545
6.987,6.021,6.604,6.867,9.532,9.8682,7.5712,10.211,7.766,12.962,8.855,1_185,8.47676363636364
2.024,1.451,0,1.506,1.872,1.872,2.293,0.243,0,8.264,0.664,1_186,1.83536363636364
2.283,9.783,0,1.741,14.717,9.85,8.061,2.25,0,13.867,2.801,1_187,5.94118181818182
29.017,25.553,46.033,14.166,31.461,29.77,25.956,31.574,43.181,28.66,30.925,1_188,30.5723636363636
20.44,50.2473,105.3039,65.168,3.27,87.0569,3.27,97.1672,96.2189,3.27,108.0682,1_189,58.1345818181818
70.2079,30.6517,83.4881,109.5671,93.0929,43.214,86.431,46.6907,85.7971,109.7049,80.2476,1_190,76.2811818181818
1.772,15.7633,1.1,13.0623,1.1,13.7943,1.1,8.244,1.1,9.121,13.1253,1_191,7.20747272727273
60.3326,65.0036,11.257,52.8886,51.0026,59.1236,48.5926,59.0416,9.325,63.5716,66.0816,1_192,49.6564
17.199,53.4849,16.712,21.856,37.8705,50.1499,33.6215,15.278,17.384,9.58,49.1599,1_193,29.2996090909091
10.7902,7.721,7.721,10.65,24.06,7.721,12.939,17.5152,8.811,17.614,11.795,1_194,12.4852181818182
9.178,3.77,5.13,12.3651,21.617,4.886,21.7141,9.599,4.886,16.0781,5.13,1_195,10.3957545454545
36.791,64.1547,72.6747,43.39409,72.2997,59.8847,68.3037,38.756,67.3127,63.03059,63.8785,1_196,59.13458
24.85,22.62079,21.58079,7.83779,21.58079,20.54379,0,17.008,22.19979,16.657,25.271,1_197,18.1954309090909
0,29.459,88.43472,39.6439,29.75092,31.579,27.339,60.531,78.48172,63.24692,18.1009,1_198,42.4151890909091
0,19.2461,36.4872,57.0091,50.0267,56.9371,37.4974,24.559,33.4122,50.4477,44.8197,1_199,37.3129272727273
0,18.921,34.042,21.817,31.068,20.036,16.785,4.57,33.954,26.008,18.222,1_200,20.493
0,11.904,24.753,0.732,24.873,0.732,3.31,7.381,20.073,13.074,11.904,1_201,10.7941818181818
0,31.114,25.551,13.13,6.81,13.551,20.918,0,25.551,26.6257,31.024,1_202,17.6613363636364
0,32.203,33.3675,35.947,33.9915,30.018,16.6816,18.084,32.2477,38.14,34.462,1_203,27.7402090909091
0,30.244,28.173,57.058,27.723,46.78,21.541,31.439,29.263,19.258,33.373,1_204,29.532
2.7042,28.4057,25.806,37.2954,27.5615,36.4834,45.4045,48.8897,29.4475,42.0647,28.4057,1_205,32.0425727272727
0,17.839,0,13.597,0,13.176,2.811,7.374,0,6.499,12.117,1_206,6.67390909090909
46.155,73.6312,29.7957,62.3305,29.598,61.0345,33.1997,20.1582,32.3057,24.561,71.3442,1_207,44.0103363636364
33.1486,49.2,64.6297,45.7087,30.6071,45.7087,46.6286,25.3826,61.6651,48.499,53.5656,1_208,45.8857909090909
69.5692,132.9859,73.5691,90.3192,93.317,86.4692,49.855,67.4222,76.0311,94.4031,134.4099,1_209,88.0319
54.8,73.2162,62.6602,63.8994,63.9312,69.5544,62.1552,57.607,63.3522,52.969,72.7822,1_210,63.357
51.49699,59.39249,31.8417,76.68149,65.2567,58.89449,47.7795,76.1066,27.1967,82.34929,69.77249,1_211,58.7971309090909
20.486,35.252,19.93,60.305,1.932,53.808,34.633,59.918,19.93,33.823,36.094,1_212,34.1919090909091
32.022,58.309,37.823,58.377,31.475,52.772,39.358,56.542,34.719,54.758,60.171,1_213,46.9387272727273
7.714,12.427,12.279,12.427,17.822,9.826,8.29,6.872,11.437,9.405,10.528,1_214,10.8206363636364
95.86479,53.9868,55.338,53.2148,36.51,49.5278,66.77079,44.589,55.017,78.9368,48.7518,1_215,58.0461436363636
49.1418,22.943,52.4548,20.589,41.6052,14.458,14.854,39.679,47.5518,51.174,23.644,1_216,34.3722363636364
73.99202,54.18998,71.12002,83.37132,49.576,78.55032,49.86632,77.42332,65.72402,34.67702,51.69298,1_217,62.7439381818182
